id,season,date,arena,H_team,A_team_id,A_team,A_team_id,H_score,A_score,ref1,ref2,ref3,ties,leadChange,nugget
8787,2021,2021-10-19T23:30:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Brooklyn Nets,4,127,104,Josh Tiven,Natalie Sago,Jacyn Goble,1,1,
8788,2021,2021-10-20T02:00:00.000Z,STAPLES Center,Los Angeles Lakers,17,Golden State Warriors,11,114,121,Sean Wright,Mark Lindsay,Ray Acosta,5,7,
8789,2021,2021-10-20T23:00:00.000Z,Spectrum Center,Charlotte Hornets,5,Indiana Pacers,15,123,122,Rodney Mott,Scott Wall,Nate Green,7,9,
8790,2021,2021-10-20T23:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Chicago Bulls,6,88,94,Derek Richardson,Tyler Ford,Mousa Dagher,10,8,
8791,2021,2021-10-20T23:30:00.000Z,Madison Square Garden,New York Knicks,24,Boston Celtics,2,138,134,Scott Foster,Ed Malloy,Lauren Holtkamp,10,12,
8792,2021,2021-10-20T23:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Washington Wizards,41,83,98,Bill Kennedy,Eric Dalen,John Butler,2,1,
8793,2021,2021-10-21T00:00:00.000Z,FedExForum,Memphis Grizzlies,19,Cleveland Cavaliers,7,132,121,Michael Smith,Kevin Scott,John Conley,3,9,
8846,2021,2021-10-28T00:00:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Minnesota Timberwolves,22,108,113,Zach Zarba,Matt Myers,Dedric Taylor,0,0,
8847,2021,2021-10-28T00:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Los Angeles Lakers,17,123,115,Scott Foster,Lauren Holtkamp,Gediminas Petraitis,1,1,
8848,2021,2021-10-28T02:00:00.000Z,Footprint Center,Phoenix Suns,28,Sacramento Kings,30,107,110,Eric Lewis,Suyash Mehta,Natalie Sago,5,5,
