game_id,season,date,arena,H_team,H_team_id,A_team,A_team_id,H_score,A_score,ref1,ref2,ref3,ties,leadChange,nugget,result,H_game_id,H_mean_fastBreakPoints,H_mean_pointsInPaint,H_mean_biggestLead,H_mean_secondChancePoints,H_mean_pointsOffTurnovers,H_mean_longestRun,H_mean_points,H_mean_fgm,H_mean_fga,H_mean_fgp,H_mean_ftm,H_mean_fta,H_mean_ftp,H_mean_tpm,H_mean_tpa,H_mean_tpp,H_mean_offReb,H_mean_defReb,H_mean_totReb,H_mean_assists,H_mean_pFouls,H_mean_steals,H_mean_turnovers,H_mean_blocks,H_mean_plusMinus,H_w_per_before,H_w_per_last10games,H_w_per_last5games,A_game_id,A_mean_fastBreakPoints,A_mean_pointsInPaint,A_mean_biggestLead,A_mean_secondChancePoints,A_mean_pointsOffTurnovers,A_mean_longestRun,A_mean_points,A_mean_fgm,A_mean_fga,A_mean_fgp,A_mean_ftm,A_mean_fta,A_mean_ftp,A_mean_tpm,A_mean_tpa,A_mean_tpp,A_mean_offReb,A_mean_defReb,A_mean_totReb,A_mean_assists,A_mean_pFouls,A_mean_steals,A_mean_turnovers,A_mean_blocks,A_mean_plusMinus,A_w_per_before,A_w_per_last10games,A_w_per_last5games
8787,2021,2021-10-19T23:30:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Brooklyn Nets,4,127,104,Josh Tiven,Natalie Sago,Jacyn Goble,1.0,1.0,,1,8787,13.6,46.0,11.4,10.9,14.7,11.6,106.7,40.6,88.6,45.87,13.2,17.7,75.6,12.3,35.5,34.92,10.5,37.1,47.6,22.5,17.5,7.3,16.4,5.1,-3.7,0.43333333333333335,3.0,1.0,8787,15.9,39.8,13.4,13.0,16.3,11.2,111.4,39.2,86.2,45.66,18.2,25.0,74.09,14.8,37.6,39.92,9.6,34.6,44.2,24.2,19.1,7.7,15.2,5.3,-0.8,0.5,6.0,3.0
8788,2021,2021-10-20T02:00:00.000Z,STAPLES Center,Los Angeles Lakers,17,Golden State Warriors,11,114,121,Sean Wright,Mark Lindsay,Ray Acosta,5.0,7.0,,0,8788,14.3,45.2,7.5,13.7,19.1,11.3,103.8,37.6,86.2,43.54,17.7,24.9,70.99,10.9,31.5,34.75,9.8,35.8,45.6,22.6,21.9,9.3,18.1,4.0,-8.8,0.5681818181818182,2.0,0.0,8788,13.6,39.8,15.8,12.2,17.3,10.9,107.8,39.6,90.7,43.56,12.5,16.4,76.87,16.1,45.3,35.92,10.4,36.4,46.8,27.0,20.3,10.7,15.4,4.3,3.8,0.5833333333333334,6.0,5.0
8789,2021,2021-10-20T23:00:00.000Z,Spectrum Center,Charlotte Hornets,5,Indiana Pacers,15,123,122,Rodney Mott,Scott Wall,Nate Green,7.0,9.0,,1,8789,14.2,48.2,14.1,14.6,20.5,13.6,102.5,37.8,88.1,42.57,15.9,22.2,73.51,11.0,33.4,31.53,10.8,33.6,44.4,24.6,19.6,9.1,18.2,5.4,-9.3,0.3,3.0,1.0,8789,15.0,41.8,10.8,10.8,18.8,11.6,100.5,37.6,85.6,43.779999999999994,12.9,18.6,67.65,12.4,37.0,32.74,8.7,31.6,40.3,23.6,22.8,9.9,16.4,5.8,-6.1,0.42857142857142855,3.0,3.0
8790,2021,2021-10-20T23:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Chicago Bulls,6,88,94,Derek Richardson,Tyler Ford,Mousa Dagher,10.0,8.0,,0,8790,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,3.0,8790,14.6,51.2,24.0,16.4,21.3,13.4,111.7,42.8,93.3,45.75,15.5,19.5,79.52000000000001,10.6,32.0,32.82000000000001,12.5,39.3,51.8,25.7,20.5,9.4,14.0,6.0,13.7,0.7272727272727273,8.0,5.0
8791,2021,2021-10-20T23:30:00.000Z,Madison Square Garden,New York Knicks,24,Boston Celtics,2,138,134,Scott Foster,Ed Malloy,Lauren Holtkamp,10.0,12.0,,1,8791,,,,,,,,,,,,,,,,,,,,,,,,,,0.8888888888888888,,5.0,8791,11.2,38.0,8.7,11.1,17.4,10.6,102.9,36.3,82.4,44.25,17.9,23.9,76.17999999999999,12.4,36.9,33.95,10.5,32.9,43.4,21.2,20.2,7.0,16.9,6.0,-6.9,0.5263157894736842,4.0,2.0
8792,2021,2021-10-20T23:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Washington Wizards,41,83,98,Bill Kennedy,Eric Dalen,John Butler,2.0,1.0,,0,8792,15.5,44.8,14.2,12.9,25.5,11.6,108.8,40.0,89.5,44.68,14.4,19.7,72.51,14.4,39.4,36.300000000000004,10.6,33.7,44.3,24.5,24.0,10.7,17.6,5.7,3.8,0.7,6.0,3.0,8792,10.9,45.8,11.2,11.9,15.5,10.1,105.9,37.3,84.6,43.98,21.8,29.5,73.08,9.5,32.0,29.190000000000005,8.4,37.4,45.8,22.8,23.1,8.6,15.2,5.5,-4.5,0.13043478260869565,2.0,0.0
8793,2021,2021-10-21T00:00:00.000Z,FedExForum,Memphis Grizzlies,19,Cleveland Cavaliers,7,132,121,Michael Smith,Kevin Scott,John Conley,3.0,9.0,,1,8793,18.6,49.6,18.2,15.4,16.3,10.9,104.1,38.9,90.7,43.040000000000006,15.3,19.3,81.76,11.0,36.9,29.620000000000005,13.4,38.7,52.1,22.8,18.2,9.0,14.9,6.7,7.3,0.52,6.0,2.0,8793,12.2,44.4,11.0,11.7,18.4,11.3,102.6,36.4,79.5,45.95,19.3,27.5,69.24,10.5,28.4,37.14,9.5,34.6,44.1,22.4,18.7,9.5,18.9,4.4,-1.1,0.6,6.0,2.0
8846,2021,2021-10-28T00:00:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Minnesota Timberwolves,22,108,113,Zach Zarba,Matt Myers,Dedric Taylor,0.0,0.0,,0,8846,12.1,41.4,12.2,10.5,15.2,12.2,109.4,40.7,86.7,46.85,14.2,18.8,76.22999999999999,13.8,36.5,38.03,9.6,35.3,44.9,21.8,17.6,7.2,15.3,5.1,-1.5,0.47058823529411764,4.0,3.0,8846,18.8,47.2,13.2,12.8,26.7,13.9,104.3,37.9,90.6,41.53,16.7,22.3,75.21,11.8,39.7,29.7,11.1,33.9,45.0,23.3,21.7,12.5,17.4,6.0,-3.7,0.45454545454545453,5.0,3.0
8847,2021,2021-10-28T00:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Los Angeles Lakers,17,123,115,Scott Foster,Lauren Holtkamp,Gediminas Petraitis,1.0,1.0,,1,8847,9.4,44.2,8.8,8.9,16.6,12.1,102.3,38.1,87.7,43.7,13.5,18.9,70.94000000000001,12.6,39.2,32.160000000000004,8.6,35.1,43.7,22.3,18.4,7.5,14.3,3.2,-7.7,0.4666666666666667,3.0,0.0,8847,13.9,43.8,7.1,12.0,17.5,11.0,108.6,39.6,89.9,43.96,17.0,24.3,69.64,12.4,34.3,36.160000000000004,8.9,37.5,46.4,22.8,22.6,8.6,18.1,6.0,-10.0,0.5625,2.0,2.0
8848,2021,2021-10-28T02:00:00.000Z,Footprint Center,Phoenix Suns,28,Sacramento Kings,30,107,110,Eric Lewis,Suyash Mehta,Natalie Sago,5.0,5.0,,0,8848,13.8,47.6,18.7,11.1,19.9,13.9,106.7,40.4,89.8,44.989999999999995,15.0,18.8,79.44999999999999,10.9,33.0,32.81,9.7,36.6,46.3,25.2,21.4,9.3,15.3,3.4,1.7,0.6190476190476191,4.0,3.0,8848,18.5,48.8,18.5,12.9,21.5,11.5,113.6,42.2,92.3,45.9,14.8,19.7,73.74000000000001,14.4,40.3,35.690000000000005,10.9,33.7,44.6,22.9,19.5,9.2,12.5,3.8,8.3,0.6153846153846154,8.0,3.0
