,H_Team_Elo_Before,A_Team_Elo_Before,result,H_mean_fastBreakPoints,H_mean_pointsInPaint,H_mean_biggestLead,H_mean_secondChancePoints,H_mean_pointsOffTurnovers,H_mean_longestRun,H_mean_points,H_mean_fgm,H_mean_fga,H_mean_fgp,H_mean_ftm,H_mean_fta,H_mean_ftp,H_mean_tpm,H_mean_tpa,H_mean_tpp,H_mean_offReb,H_mean_defReb,H_mean_totReb,H_mean_assists,H_mean_pFouls,H_mean_steals,H_mean_turnovers,H_mean_blocks,H_mean_plusMinus,H_w_per_before,H_w_per_last10games,H_w_per_last5games,A_mean_fastBreakPoints,A_mean_pointsInPaint,A_mean_biggestLead,A_mean_secondChancePoints,A_mean_pointsOffTurnovers,A_mean_longestRun,A_mean_points,A_mean_fgm,A_mean_fga,A_mean_fgp,A_mean_ftm,A_mean_fta,A_mean_ftp,A_mean_tpm,A_mean_tpa,A_mean_tpp,A_mean_offReb,A_mean_defReb,A_mean_totReb,A_mean_assists,A_mean_pFouls,A_mean_steals,A_mean_turnovers,A_mean_blocks,A_mean_plusMinus,A_w_per_before,A_w_per_last10games,A_w_per_last5games
101,1498.033692971015,1484.2486815774212,0,9.3,40.0,9.8,15.3,17.2,9.7,114.3,40.1,89.0,44.81,20.5,25.5,80.36,13.6,35.2,37.31,10.3,32.5,42.8,22.3,22.7,7.7,13.2,5.7,-2.2,0.5,5.0,4.0,12.1,50.2,12.2,13.1,17.9,10.3,109.0,39.4,85.8,46.25,20.2,27.8,73.75,10.0,30.7,33.54,11.0,33.2,44.2,22.6,23.8,8.6,13.8,4.0,-1.1,0.5,5.0,2.0
102,1487.8666332593643,1544.7154543909576,0,8.1,41.4,16.2,12.2,13.4,11.8,107.7,38.3,88.9,43.43,19.1,25.0,75.6,12.0,33.6,35.22,11.2,37.3,48.5,24.9,23.2,7.3,13.9,5.4,-1.4,0.3,3.0,1.0,15.1,43.8,17.1,12.1,17.5,10.9,111.4,40.5,86.5,46.910000000000004,17.9,23.8,76.07000000000001,12.5,34.3,35.980000000000004,9.3,35.2,44.5,22.6,23.7,8.6,13.2,4.6,5.3,0.7,7.0,4.0
103,1484.0607091344061,1551.33814583195,1,8.7,46.6,10.2,10.5,11.6,10.5,116.9,41.1,88.3,46.769999999999996,21.2,26.9,79.16999999999999,13.5,36.7,36.91,7.7,35.5,43.2,23.9,22.1,5.4,11.4,3.7,-4.5,0.36363636363636365,3.0,1.0,10.9,40.6,15.8,13.3,16.3,12.3,115.1,40.2,87.0,46.160000000000004,20.0,26.8,75.11,14.7,38.8,37.94,8.6,38.1,46.7,22.0,24.8,7.1,11.4,3.1,6.8,0.8,8.0,4.0
105,1499.5146874518973,1426.572272599357,1,10.2,44.8,15.3,12.9,16.0,10.8,110.8,39.8,85.2,46.8,16.5,21.0,79.38000000000001,14.7,39.3,37.39,10.3,31.8,42.1,23.2,22.8,7.2,13.9,3.9,1.4,0.5,5.0,3.0,11.7,40.0,6.1,12.7,13.5,11.7,108.6,39.1,82.7,47.4,16.8,22.1,76.64,13.6,32.0,42.980000000000004,10.6,32.2,42.8,24.7,20.1,6.1,16.1,5.6,-9.2,0.2,2.0,1.0
107,1525.8019369625756,1486.326516711244,1,9.7,40.8,12.7,11.8,16.0,12.0,109.3,38.1,87.7,43.73,20.4,26.9,76.24,12.7,36.1,34.7,9.4,39.1,48.5,20.7,21.2,7.5,15.4,4.6,0.5,0.6363636363636364,6.0,2.0,13.9,35.0,14.0,9.2,21.3,12.5,110.5,36.7,87.5,41.9,19.5,22.7,86.22,17.6,52.8,33.18,6.3,34.3,40.6,21.4,23.4,9.9,15.2,3.8,-1.1,0.5,5.0,2.0
109,1485.9495843161008,1496.3327902323354,0,9.2,39.4,9.6,15.3,17.9,9.7,116.3,40.7,90.5,44.8,20.6,25.4,81.33,14.3,36.1,38.82,10.5,32.4,42.9,22.3,23.5,7.4,13.0,5.4,-2.7,0.45454545454545453,5.0,3.0,11.2,49.4,12.3,13.6,17.3,10.4,110.2,39.5,85.9,46.31,20.8,29.1,72.93,10.4,31.5,34.14,11.1,34.8,45.9,23.4,23.7,8.2,14.6,4.8,0.1,0.5454545454545454,6.0,3.0
110,1424.1085729056776,1501.9783871455766,1,10.7,41.8,5.6,14.1,13.4,11.1,112.4,41.2,86.4,47.86,15.7,20.6,77.66,14.3,33.3,43.61,11.3,30.8,42.1,25.4,20.5,5.9,14.2,5.3,-10.1,0.18181818181818182,1.0,1.0,9.5,46.0,16.1,13.7,15.0,10.4,114.9,40.7,86.0,47.47,18.4,23.0,80.49,15.1,39.8,38.05,10.6,32.8,43.4,22.9,22.2,6.8,13.4,3.7,2.9,0.5454545454545454,6.0,4.0
111,1546.710977357422,1488.687877608934,1,11.4,43.2,16.6,13.5,17.4,12.5,118.5,41.3,89.0,46.38,21.4,28.1,76.28,14.5,38.5,37.72,8.4,38.1,46.5,21.8,24.9,7.4,11.2,3.2,5.7,0.7272727272727273,7.0,3.0,8.2,48.4,10.1,11.7,11.7,11.3,119.3,42.4,89.7,47.440000000000005,21.2,26.7,79.75,13.3,36.5,36.57,8.1,36.1,44.2,23.2,22.7,5.6,11.3,3.8,-3.6,0.4166666666666667,4.0,2.0
112,1519.583458220057,1462.6970015854677,1,10.4,39.8,16.3,13.0,14.9,11.0,115.1,40.5,87.7,46.26,19.4,26.8,71.72,14.7,40.1,36.54,9.7,41.8,51.5,25.5,22.9,6.7,18.0,4.1,0.7,0.5454545454545454,5.0,3.0,11.9,36.0,11.8,12.0,21.2,12.3,110.8,38.2,87.2,43.97,21.4,26.0,81.86,13.0,35.2,36.35,9.6,32.9,42.5,23.8,21.8,8.1,13.7,3.1,-3.4,0.4,4.0,2.0
113,1482.972855250916,1529.1555984229037,1,13.5,35.6,14.3,9.0,21.1,12.4,113.6,37.9,88.9,42.64,19.3,22.5,86.05,18.5,53.8,34.230000000000004,6.1,34.7,40.8,22.1,23.4,9.7,14.6,3.9,-0.3,0.45454545454545453,5.0,2.0,10.0,41.0,13.0,12.5,15.4,12.1,110.8,38.8,87.1,44.809999999999995,20.5,26.5,77.54,12.7,35.5,35.25,8.9,38.3,47.2,20.1,21.0,7.2,15.2,3.9,0.3,0.6666666666666666,6.0,2.0
114,1516.6778790254925,1465.6044955229436,1,12.6,48.8,14.2,14.3,19.1,11.1,111.8,40.3,87.4,46.25,20.0,28.5,71.82,11.2,33.4,34.0,11.5,33.6,45.1,23.9,23.1,8.6,13.7,5.3,1.4,0.5833333333333334,6.0,3.0,9.0,39.4,9.0,15.6,19.0,10.3,117.4,41.1,90.8,45.1,20.4,25.1,81.4,14.8,36.1,40.61,11.0,31.1,42.1,22.1,23.5,7.8,13.3,4.7,-4.1,0.4166666666666667,5.0,2.0
115,1576.4036398251674,1551.5121809118948,0,15.9,44.0,18.1,12.9,19.4,11.7,117.6,41.4,88.5,46.67,19.0,25.0,74.89000000000001,15.8,39.3,39.92,9.8,39.8,49.6,27.0,23.3,8.7,14.3,5.9,10.4,0.8461538461538461,9.0,5.0,14.9,42.4,18.6,12.2,16.4,11.7,114.0,40.7,86.6,47.1,19.4,25.7,76.66,13.2,35.4,37.33,9.4,36.0,45.4,22.0,24.0,7.7,13.3,5.0,7.1,0.7272727272727273,8.0,4.0
116,1473.0398949751473,1562.3589599912088,0,7.4,46.6,9.3,11.7,11.8,11.7,118.6,42.1,88.0,47.89,21.1,26.8,79.22,13.3,36.1,36.879999999999995,7.6,34.1,41.7,22.9,22.3,5.8,11.4,4.0,-8.2,0.38461538461538464,3.0,2.0,11.9,43.6,20.0,12.8,18.9,13.2,123.4,42.7,89.1,47.99,22.8,28.9,79.31,15.2,38.2,40.06,8.7,38.0,46.7,22.3,24.7,7.2,11.0,2.7,9.5,0.75,7.0,3.0
117,1491.6154122981998,1434.4715477530544,0,7.9,46.6,16.3,14.2,15.1,10.2,115.5,41.0,85.7,48.03,18.2,22.7,80.72,15.3,39.2,39.260000000000005,10.4,31.8,42.2,22.7,21.7,6.6,13.2,3.7,1.7,0.5,5.0,3.0,11.1,41.6,6.2,13.2,13.6,11.0,113.7,42.0,86.0,48.989999999999995,14.9,18.8,80.28,14.8,33.7,44.63,10.4,30.9,41.3,25.5,19.9,5.3,13.1,5.3,-7.6,0.25,2.0,2.0
118,1526.6794441362888,1523.350065569605,0,9.3,41.6,15.5,13.0,15.8,11.1,113.8,40.5,88.3,45.92999999999999,18.5,25.6,71.92,14.3,40.1,35.660000000000004,9.7,42.0,51.7,25.3,22.3,6.5,17.1,3.8,1.3,0.5833333333333334,5.0,4.0,8.6,41.0,13.4,12.6,18.6,9.9,107.9,37.1,83.3,44.68,20.8,26.6,77.83,12.9,38.5,33.739999999999995,8.6,36.2,44.8,24.6,18.2,8.2,14.8,4.2,3.2,0.6,6.0,4.0
119,1508.0989831363513,1504.0294705374683,1,9.2,39.6,11.1,12.5,13.8,12.1,105.7,37.1,87.4,42.79,20.1,25.9,77.51,11.4,36.1,31.77,9.4,39.5,48.9,18.2,20.3,6.1,15.7,4.3,-4.2,0.6153846153846154,5.0,2.0,12.5,37.2,16.0,9.5,21.7,12.0,113.1,38.4,90.0,42.67,18.1,21.3,84.4,18.2,53.5,33.88,6.2,35.3,41.5,22.4,22.6,9.8,13.7,3.9,1.6,0.5,5.0,3.0
120,1555.5063846659043,1572.4094360711579,0,15.1,43.8,16.5,13.2,18.7,11.4,116.3,41.0,88.5,46.190000000000005,18.9,25.3,73.63000000000001,15.4,39.9,38.3,9.8,38.7,48.5,26.8,22.9,9.0,14.3,5.6,7.1,0.7857142857142857,8.0,4.0,14.2,41.6,19.0,12.0,15.0,11.2,113.5,40.4,86.3,46.92,19.1,24.7,78.31,13.6,36.0,37.75,9.2,36.4,45.6,22.4,23.8,7.6,13.8,5.1,7.5,0.75,8.0,5.0
121,1451.832680027702,1474.2542800235522,1,10.8,40.4,7.5,13.1,13.0,9.8,114.6,41.8,85.5,49.09,15.6,18.9,82.72999999999999,15.4,34.5,45.34,10.5,30.5,41.0,25.1,20.7,5.1,12.5,4.8,-6.0,0.3076923076923077,3.0,2.0,8.9,45.2,15.7,12.9,15.4,9.8,115.0,40.6,84.7,48.09,18.0,22.5,80.53,15.8,39.3,40.55,9.7,30.1,39.8,22.9,21.1,6.8,12.1,3.7,0.0,0.46153846153846156,4.0,3.0
122,1512.448586123745,1537.580923582149,0,9.8,41.0,15.3,12.1,14.9,10.3,113.9,41.0,87.7,46.91,17.0,24.4,69.66999999999999,14.9,39.8,37.6,9.4,40.6,50.0,25.7,21.9,6.4,16.9,4.2,2.3,0.5384615384615384,5.0,4.0,8.8,41.6,12.8,13.0,19.0,9.9,109.0,37.8,84.9,44.61,20.7,26.4,78.11999999999999,12.7,37.2,34.43,9.3,36.7,46.0,24.5,18.3,8.4,14.8,4.1,3.7,0.6363636363636364,6.0,5.0
123,1499.559338282545,1512.5691153912746,1,12.0,38.4,14.4,9.2,21.0,11.9,109.4,38.0,89.3,42.57,16.0,19.2,82.81,17.4,52.2,33.25,5.8,35.0,40.8,21.7,21.8,10.1,14.1,4.1,-1.3,0.46153846153846156,4.0,2.0,8.4,37.8,9.0,12.3,14.8,12.1,105.1,36.8,88.6,41.739999999999995,19.9,25.3,78.9,11.6,37.1,31.25,9.3,40.0,49.3,18.0,19.8,6.2,15.5,3.8,-5.4,0.6428571428571429,5.0,3.0
124,1579.2201501933923,1548.6956705436698,0,14.3,39.0,18.8,10.7,14.9,11.1,112.5,39.5,85.1,46.47,19.6,24.1,81.7,13.9,36.5,38.059999999999995,8.6,36.6,45.2,22.1,22.8,7.3,13.4,5.7,10.3,0.7692307692307693,9.0,5.0,15.4,42.8,17.7,13.0,20.1,11.5,116.2,40.8,88.6,45.92,19.1,25.5,73.81,15.5,40.1,38.42,9.6,38.2,47.8,27.3,23.0,9.2,13.8,5.6,9.0,0.7333333333333333,8.0,3.0
125,1574.7318118924727,1455.6720929192293,1,11.8,44.6,20.2,11.6,19.2,12.6,124.3,43.8,89.0,49.239999999999995,21.8,27.7,79.74,14.9,36.0,41.1,8.7,38.5,47.2,22.4,24.3,7.7,11.3,2.8,11.3,0.7692307692307693,8.0,3.0,10.7,38.0,8.6,13.1,12.9,10.2,111.1,40.5,85.4,47.58,15.3,18.5,82.77,14.8,34.8,42.92,10.2,31.0,41.2,24.2,20.3,5.3,11.9,4.8,-4.8,0.35714285714285715,4.0,3.0
126,1543.3227234129047,1506.7067862929891,1,9.7,41.0,13.6,13.7,19.0,9.3,110.7,37.9,84.3,45.04,21.6,27.6,77.92999999999999,13.3,37.4,35.65,9.4,36.2,45.6,23.9,19.1,9.2,14.2,4.5,4.1,0.6666666666666666,7.0,5.0,9.7,40.2,14.3,12.0,14.5,10.2,113.7,40.2,87.0,46.37,18.6,26.0,70.74,14.7,38.8,37.83,9.4,39.1,48.5,25.2,22.1,6.4,16.1,3.8,2.5,0.5,5.0,3.0
127,1522.2015248196838,1503.2444259990973,0,13.0,49.6,14.3,13.3,20.1,11.6,112.6,40.7,87.3,46.760000000000005,19.9,28.0,72.8,11.3,34.2,33.25,11.3,33.2,44.5,24.4,22.3,8.5,14.0,5.2,1.6,0.6153846153846154,6.0,4.0,11.0,39.0,14.1,9.2,20.8,11.7,107.8,37.9,89.0,42.59,15.0,18.0,83.05,17.0,51.0,33.28000000000001,6.3,35.3,41.6,21.3,21.8,9.7,14.4,4.5,-1.5,0.5,4.0,2.0
128,1573.5899088187864,1554.3259119182758,0,12.8,40.2,17.4,10.5,15.6,11.2,110.0,39.2,85.7,45.72,18.6,22.8,81.67,13.0,36.4,35.16,8.7,37.3,46.0,21.8,22.3,7.0,13.4,5.8,9.8,0.7142857142857143,8.0,4.0,16.1,44.4,16.6,13.2,19.4,11.4,115.8,41.5,90.3,45.79,17.5,23.8,71.85,15.3,40.2,37.82,9.7,38.0,47.7,27.1,22.7,8.2,12.6,5.4,8.2,0.75,8.0,3.0
129,1582.0168956613486,1448.3870091503534,0,12.2,49.2,18.9,11.4,16.8,12.2,123.7,44.9,88.7,50.7,20.5,25.9,80.27,13.4,33.7,39.95,8.8,38.1,46.9,22.4,23.9,7.4,11.7,2.9,11.3,0.7857142857142857,8.0,4.0,10.3,36.6,8.6,13.3,13.7,10.6,108.7,39.5,86.0,45.96,15.3,18.9,81.61,14.4,36.1,39.77,10.4,31.3,41.7,23.5,20.4,5.6,12.0,5.1,-6.8,0.3333333333333333,4.0,3.0
130,1551.509342858508,1498.5201668473858,0,9.7,40.0,14.6,13.9,18.8,9.5,111.2,37.8,83.7,45.24,22.0,27.8,78.67999999999999,13.6,37.6,36.15,9.8,36.4,46.2,23.3,18.9,8.9,13.5,4.5,7.4,0.6923076923076923,8.0,5.0,10.2,41.2,15.3,12.2,14.7,10.3,113.1,40.6,87.4,46.64,17.5,24.6,70.45,14.4,38.2,37.54,9.1,38.9,48.0,25.0,22.2,6.8,15.2,3.7,1.8,0.4666666666666667,5.0,2.0
131,1504.0247637660802,1521.4211870527008,1,13.5,50.2,14.4,13.5,20.3,11.7,113.1,41.3,87.4,47.440000000000005,19.1,26.6,73.95,11.4,34.0,33.64,11.5,33.1,44.6,24.5,21.8,8.5,13.8,4.9,1.6,0.5714285714285714,6.0,4.0,10.7,39.0,15.5,8.9,21.1,11.8,108.5,38.2,88.2,43.36,15.1,18.6,81.41,17.0,50.1,33.95,6.3,35.7,42.0,21.4,21.8,9.6,14.0,4.5,1.8,0.5333333333333333,5.0,3.0
132,1565.693381589988,1562.2224391470743,0,15.1,42.4,15.5,13.5,18.1,11.0,114.4,40.7,89.2,45.41,17.2,23.1,72.82,15.8,40.6,38.68,8.9,37.4,46.3,27.0,22.1,7.5,12.5,5.3,8.1,0.7647058823529411,8.0,3.0,11.6,39.6,13.7,10.4,13.7,10.6,107.1,37.8,83.6,45.22,19.4,23.9,81.58,12.1,35.3,33.68,8.4,36.9,45.3,20.9,22.1,6.8,13.4,5.8,6.9,0.6666666666666666,7.0,3.0
133,1465.6791352335954,1564.7247695781066,0,10.8,35.0,10.1,12.8,14.4,10.5,108.6,39.3,86.4,45.529999999999994,15.4,18.7,82.94000000000001,14.6,36.6,39.81,10.9,31.1,42.0,22.0,20.8,6.1,12.0,5.5,-4.6,0.375,5.0,4.0,13.0,48.2,17.4,12.3,17.2,12.0,121.2,43.5,88.3,49.36,21.3,27.3,79.16999999999999,12.9,33.8,38.239999999999995,9.8,37.8,47.6,22.2,23.5,7.9,12.8,3.0,8.9,0.7333333333333333,7.0,3.0
134,1506.7748037811655,1543.2547059247283,0,9.7,41.8,13.6,12.2,15.6,10.8,112.3,40.7,87.9,46.47,17.2,24.0,71.03999999999999,13.7,37.9,35.940000000000005,9.1,38.2,47.3,25.0,21.6,7.2,15.0,4.1,0.8,0.5,5.0,2.0,9.0,38.2,13.5,13.1,18.0,9.9,111.3,37.4,82.9,45.19,22.5,27.9,80.84,14.0,38.3,36.52,9.1,35.3,44.4,23.7,18.7,8.6,13.7,3.7,4.9,0.6428571428571429,7.0,4.0
135,1514.3624916982847,1511.0834591204964,0,10.3,38.4,14.5,8.9,20.9,12.0,109.0,38.5,87.4,44.13,14.4,18.1,80.22999999999999,17.6,49.7,35.290000000000006,6.5,34.1,40.6,21.6,21.9,9.5,13.7,4.1,1.4,0.5,5.0,3.0,13.9,49.8,15.1,13.8,20.4,11.3,113.2,41.9,87.5,48.1,17.7,25.3,72.0,11.7,34.1,34.62,12.0,32.9,44.9,25.2,21.1,8.4,13.9,5.1,1.6,0.6,6.0,4.0
136,1584.8613628297296,1543.0544579073326,0,12.0,40.8,14.5,9.3,14.6,10.6,106.0,37.2,82.7,45.04,20.0,24.3,82.64000000000001,11.6,35.0,32.6,7.8,37.4,45.2,20.3,21.3,6.6,13.3,5.7,7.6,0.6875,7.0,3.0,15.6,41.4,15.1,11.7,16.7,10.6,110.8,40.0,88.7,44.85,15.6,20.4,74.53,15.2,40.3,37.489999999999995,8.8,36.4,45.2,26.1,22.2,7.5,12.6,5.1,5.5,0.7222222222222222,7.0,2.0
137,1458.494455148265,1571.909449663437,0,9.5,37.6,10.8,12.5,14.1,10.1,108.4,40.1,87.1,46.07,14.1,17.4,81.81,14.1,36.2,38.84,10.8,30.7,41.5,22.5,21.9,6.2,11.7,4.4,-4.4,0.35294117647058826,5.0,3.0,14.9,48.2,16.9,11.8,15.9,11.7,120.1,43.0,87.3,49.42,21.5,27.6,79.03,12.6,33.2,38.010000000000005,9.5,38.2,47.7,21.6,23.0,7.5,13.8,3.3,8.2,0.75,7.0,4.0
138,1500.9527303965874,1524.4932204221936,0,9.3,38.8,14.6,9.4,19.7,11.5,109.6,38.8,87.5,44.44,14.4,17.9,81.47999999999999,17.6,47.9,36.790000000000006,7.0,33.9,40.9,21.4,21.9,9.3,12.9,3.3,4.2,0.47058823529411764,5.0,2.0,13.6,51.0,16.3,14.2,19.4,11.4,115.8,43.1,86.5,50.089999999999996,17.4,24.7,72.41,12.2,33.4,36.6,11.9,32.7,44.6,26.0,20.2,8.3,14.1,5.4,4.5,0.625,7.0,4.0
139,1581.6152357796598,1448.7886690320422,0,13.5,47.8,17.9,11.8,14.4,11.3,119.0,42.9,86.7,49.6,21.0,26.7,79.44,12.2,32.3,37.629999999999995,9.2,36.5,45.7,21.2,23.4,7.2,12.7,3.6,8.9,0.7647058823529411,7.0,4.0,9.0,35.8,9.6,12.0,13.5,10.1,103.4,37.9,84.4,44.879999999999995,14.8,18.2,81.94,12.8,34.8,36.8,10.5,30.7,41.2,22.1,22.2,5.6,12.0,4.3,-6.5,0.3333333333333333,4.0,2.0
140,1551.0764014334745,1576.8394193035876,0,14.4,40.2,14.3,11.0,15.4,10.1,111.6,39.9,89.8,44.21,16.5,21.5,75.3,15.3,41.5,36.39,8.3,36.4,44.7,25.6,22.4,7.7,11.9,5.4,5.0,0.7368421052631579,7.0,3.0,11.9,40.2,15.2,9.1,14.7,10.4,109.2,38.1,83.9,45.459999999999994,20.3,24.7,82.4,12.7,36.1,34.44,7.9,38.0,45.9,21.3,21.9,6.3,13.0,5.4,7.9,0.6470588235294118,7.0,2.0
141,1536.8849642503626,1488.5609865684185,1,14.3,51.6,17.9,13.9,18.8,11.4,114.4,43.0,87.2,49.55,16.7,23.1,74.91,11.7,33.5,34.77,11.7,34.9,46.6,26.2,21.1,8.4,14.7,5.4,5.2,0.6470588235294118,7.0,4.0,8.2,36.8,12.3,8.9,19.5,11.2,107.3,37.3,85.1,43.92,15.7,19.9,80.22,17.0,46.0,37.18,6.7,33.2,39.9,21.3,21.4,9.9,13.8,3.8,1.7,0.4444444444444444,4.0,2.0
142,1462.5028258629343,1567.9010789487677,1,9.1,36.8,10.1,11.9,13.8,10.3,104.0,38.1,84.4,45.12,15.1,18.4,82.50999999999999,12.7,34.8,36.43,9.8,31.7,41.5,21.9,22.5,6.2,12.1,4.4,-4.0,0.3684210526315789,5.0,2.0,13.0,46.4,17.9,10.8,13.9,11.2,117.7,42.1,86.0,49.06,21.0,26.4,80.75999999999999,12.5,32.7,38.019999999999996,9.1,36.2,45.3,21.6,23.2,6.6,12.5,3.8,7.5,0.7222222222222222,6.0,3.0
143,1585.1859798618323,1554.4226377827042,0,12.4,41.0,15.3,8.9,15.7,10.4,107.5,37.8,83.5,45.31,19.3,24.4,79.2,12.6,36.8,33.58,7.3,38.7,46.0,21.0,21.4,6.3,13.3,5.5,7.6,0.6666666666666666,7.0,2.0,9.7,37.2,12.5,12.8,16.8,9.8,110.1,36.7,81.6,45.1,23.0,28.3,81.51,13.7,37.2,36.739999999999995,9.0,36.2,45.2,23.4,18.5,7.8,14.6,4.2,5.9,0.6666666666666666,8.0,4.0
144,1554.3121343525697,1476.0917704591322,0,14.1,46.0,19.8,10.4,14.8,12.0,116.1,41.6,85.4,48.760000000000005,20.4,25.2,81.96000000000001,12.5,32.0,38.78,9.1,35.2,44.3,22.0,22.5,7.2,12.3,4.0,7.5,0.6842105263157895,6.0,2.0,9.3,37.6,11.6,11.0,14.5,10.9,106.4,38.8,83.0,46.78,16.1,20.0,81.37,12.7,33.5,38.07,8.8,32.3,41.1,22.5,21.9,6.8,11.8,4.2,1.0,0.4,6.0,3.0
